"ID","Language","AtLeastOneOpenResponse","Isolation","DP2","DP1","DP5","DP4","DP3","Erg2","Erg6","Erg4","Erg5","Erg3","Erg1","WHO5B3","WHO5B4","WHO5B5","WHO5B2","WHO5B1","WHO5S2","WHO5S3","WHO5S5","WHO5S1","WHO5S4","HPQB1","HPQB7","HPQB3","HPQB6","HPQB5","HPQB4","HPQB2","HPQB8","HPQS1","HPQS4","HPQS6","HPQS3","HPQS5","HPQS2","HPQS7","HPQS8","PerformanceOthers","PerB1item","PerS1item","RolesIncludeDeveloper","YearsOfExperience","YearsOfWorkFromHomeExperience","Fulltime","Coinhabitants","Age","Gender","Country","Education","OrganizationSize","Disabilities","OS1_y","OS1_h","OS2_y","OS2_h","OS3_y","OS3_h","OS4_y","OS4_h","OS5_y","OS5_h","OS6_y","OS6_h","OS7_y","OS7_h","OS8_y","OS8_h","OS9_y","OS9_h","OS10_y","OS10_h","OS11_y","OS11_h","OS12_y","OS12_h","OS13_y","OS13_h","OS14_y","OS14_h","OS15_y","OS15_h","OS16_y","OS16_h","OS17_y","OS17_h","OS18_y","OS18_h","OS19_y","OS19_h","OS20_y","OS20_h","OS21_y","OS21_h","OS22_y","OS22_h","COVIDStatus","AdultCohabitants","ChildCohabitants","FearResilience","PerRatioB","PerRatioS","DeltaWellbeing"
425,"English",1,2,,1,1,3,2,-1,1,1,2,2,-2,4,3,4,4,4,4,3,4,4,3,2,0,1,2,1,1,1,1,2,2,2,2,2,1,0,1,8,8,7,1,0.2,0,1,2,3,"Male","Germany",3,3,2,1,1,0,1,1,1,,,1,1,1,1,1,1,0,1,1,0,,,1,1,,,,,,,0,1,,,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,-3.6,1,0.875,-1
426,"English",1,1,3,4,4,3,3,2,2,3,3,3,2,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,1,0,2,2,1,1,1,1,0,2,1,8,9,9,1,1,0,1,1,4,"Male","Germany",3,6,0,1,0,1,0,1,0,,,,,,,1,0,1,0,1,0,,,1,0,1,0,1,0,,,0,1,,,,,1,0,1,0,1,0,1,0,1,0,0,0,0,-3.6,1.125,1.125,0
427,"English",1,2,2,4,4,4,1,3,3,2,2,-2,1,3,1,2,1,3,5,4,5,5,5,1,0,2,1,1,2,2,0,3,1,2,1,1,1,0,1,5,6,7,1,0.4,0,1,1,2,"Male","Germany",2,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,,1,1,0,1,,,0,1,0,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1,0,0,0,-2.6,1.2,1.4,14
428,"English",1,2,3,4,3,4,1,2,3,3,3,3,2,3,2,3,1,3,4,2,4,3,2,2,1,3,1,2,2,2,1,2,1,1,1,1,2,2,1,8,9,8,1,1.5,0.1,1,1,6,"Male","Germany",2,2,0,0,1,,,,,0,1,1,1,1,1,0,1,,,0,1,1,0,0,1,0,1,,,,,,,,,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,-3.6,1.125,1,3
429,"English",0,2,2,4,3,4,3,3,3,3,2,3,1,3,2,1,2,1,4,3,3,4,4,4,0,2,2,2,1,0,3,4,1,1,1,1,0,0,3,4,6,8,1,0.8,0.1,1,2,4,"Male","Austria",2,3,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,,1.5,2,9
430,"English",0,2,3,3,4,4,3,3,3,3,3,3,3,4,4,3,5,3,5,5,4,5,5,4,1,1,0,0,3,0,2,4,1,0,1,0,0,2,2,,9,7,1,1.5,0.3,1,1,7,"Male","Germany",2,3,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,-1.4,,,5
431,"English",0,2,0,4,4,4,4,3,-2,3,1,2,3,3,3,5,4,4,4,3,4,4,3,3,0,0,1,0,1,0,3,2,0,0,0,0,2,1,2,9,9,7,1,0.3,0.1,0,3,3,"Male","Germany",3,4,0,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,1,1,1,1,,,,,,,0,1,1,1,1,1,1,1,1,0,1,1,0,2,0,-2.1,1,0.777777777777778,-1
432,"English",0,2,3,4,4,3,3,3,1,-1,1,2,3,4,3,4,4,4,5,5,5,5,4,3,1,0,0,0,0,0,2,4,0,0,0,0,0,0,2,5,8,8,1,0.6,0,1,6,4,"Male","Germany",3,5,0,1,0,0,1,1,1,,,1,1,1,1,1,1,,,1,0,0,1,1,0,,,,,,,,,,,,,1,1,0,1,1,1,0,1,1,1,0,3,2,-3.6,1.6,1.6,5
433,"English",0,2,0,1,3,2,1,1,-2,2,-2,2,1,2,2,2,2,2,3,2,3,3,2,2,0,1,2,1,0,0,2,2,1,2,1,1,1,1,1,5,8,6,1,0.8,0,1,1,3,"Male","Germany",3,3,0,1,1,1,1,0,1,0,1,,,1,1,1,1,0,1,1,1,,,0,1,,,,,,,,,,,0,1,0,1,1,1,1,1,,,1,1,0,0,0,-3.6,1.6,1.2,3
434,"English",1,2,1,1,1,4,0,3,2,3,3,3,2,3,3,4,4,3,4,3,4,4,4,3,0,1,2,1,0,0,1,3,1,1,0,1,0,0,1,8,9,9,1,2,0.5,0,2,6,"Female","Germany",3,4,0,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,1,0,,,1,1,1,1,1,1,1,1,1,1,0,1,0,-2.8,1.125,1.125,2
435,"English",1,2,3,2,3,2,3,3,2,2,1,3,2,4,4,4,4,4,4,4,4,4,4,3,0,0,1,1,1,0,1,1,1,1,4,3,3,0,1,7,7,6,1,0.8,0,1,2,6,"Male","Germany",2,3,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,,,1,0,,,,,0,1,,,0,1,1,1,1,1,1,0,,,,,,,0,1,0,,1,0.857142857142857,0
436,"English",1,2,0,2,2,4,1,3,-1,2,-1,1,2,4,4,4,4,4,4,3,2,3,3,3,0,0,1,1,1,1,2,2,1,2,1,1,1,0,0,5,8,6,1,0.2,0,1,1,4,"Male","Germany",4,3,0,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,1,1,,,0,1,0,1,,,,,0,1,,,,,1,1,1,1,1,1,0,1,1,1,0,0,0,-3,1.6,1.2,-5
437,"English",1,2,0,2,3,4,1,2,1,2,2,3,2,3,3,4,3,3,4,4,4,4,4,3,0,1,1,1,1,0,2,3,1,1,1,1,1,0,2,7,9,9,1,1,0,1,0,6,"Male","Germany",3,4,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,,0,-3.6,1.28571428571429,1.28571428571429,4
438,"English",0,2,0,3,4,4,3,2,2,1,3,2,2,1,0,1,1,1,2,2,2,2,1,3,1,0,1,1,1,0,3,3,1,1,1,1,0,1,3,9,9,8,1,2,0.2,1,5,6,"Male","Germany",3,4,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,,,1,0,1,0,0,1,1,0,,,,,,,,,,,1,0,1,0,1,0,,,1,0,0,2,2,-3.6,1,0.888888888888889,5
439,"English",1,1,1,4,3,3,0,3,1,2,1,3,2,4,3,4,4,4,3,3,3,3,2,2,0,2,2,0,1,2,1,2,1,1,2,0,2,2,1,7,6,7,1,0.8,0,0,1,5,"Male","Germany",3,4,0,1,1,0,1,1,1,,,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,1,1,0,1,1,1,0,1,,,0,0,0,-3.5,0.857142857142857,1,-5
440,"English",0,2,0,4,4,4,3,3,2,2,3,3,3,,,,,,,,,,,2,0,0,1,1,0,0,2,1,0,0,0,0,0,0,2,9,7,7,1,0.8,0.05,1,2,5,"Male","Germany",3,2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,0,1,,,1,1,1,1,1,1,0,1,1,1,0,1,0,,0.777777777777778,0.777777777777778,
441,"English",0,2,3,4,2,4,3,2,-1,2,-1,1,1,1,1,1,1,1,4,3,4,3,4,3,1,1,3,1,2,1,1,2,2,1,3,1,2,3,0,7,8,6,1,0.5,0.2,1,3,5,"Male","Germany",3,2,0,1,0,,,1,0,,,0,1,,,0,1,,,1,0,,,,,1,0,,,,,,,,,,,1,0,,,1,0,1,0,,,0,2,0,,1.14285714285714,0.857142857142857,13
442,"English",0,2,1,4,3,4,2,3,2,3,3,3,2,4,3,3,4,3,4,4,4,4,4,2,0,1,2,1,1,0,2,2,1,1,0,1,0,1,2,7,9,9,0,3,0,1,3,9,"Male","Germany",3,3,0,,,,,1,0,,,1,0,1,0,1,0,,,1,0,,,1,0,1,0,,,,,,,,,,,1,0,0,1,1,0,1,0,1,0,0,2,0,-3.1,1.28571428571429,1.28571428571429,3
443,"English",0,1,3,3,4,4,3,3,-1,1,-1,2,2,5,4,3,4,4,4,3,2,3,4,3,0,1,1,1,0,0,2,2,1,1,1,1,0,1,1,8,9,8,1,1.1,0,1,2,6,"Male","Germany",2,3,0,1,0,1,0,,,0,1,1,0,0,1,1,0,,,1,0,1,0,,,,,0,1,,,,,0,1,,,1,0,0,1,1,0,,,1,0,0,1,0,-4.1,1.125,1,-4
444,"English",1,1,0,3,4,4,4,3,1,1,1,3,1,4,3,4,4,4,4,4,3,4,3,4,0,1,1,0,1,0,3,4,0,0,2,0,0,0,3,6,9,10,1,2.4,0.1,1,1,6,"Male","Germany",1,5,0,1,0,0,1,,,0,1,1,0,1,0,1,0,,,1,0,,,1,0,1,0,,,0,1,0,1,,,,,1,0,1,0,0,1,0,1,1,0,0,0,0,-2.1,1.5,1.66666666666667,-1
445,"English",1,2,1,4,4,3,4,2,1,2,2,3,-1,4,4,4,4,4,4,4,4,4,4,3,0,0,0,0,0,1,2,3,0,0,0,0,1,0,2,7,9,9,1,0.7,0,1,4,4,"Male","Germany",3,4,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,,,1,1,0,1,,,,,0,1,,,1,1,1,1,0,1,1,1,1,1,1,1,0,1,2,-2.6,1.28571428571429,1.28571428571429,0
446,"English",0,2,,2,3,4,3,3,2,2,2,1,1,3,1,3,3,4,4,3,4,4,2,3,0,2,2,1,2,1,2,3,2,1,2,0,0,0,2,8,9,9,1,1,0,1,2,4,"Male","Switzerland",4,6,1,1,1,1,1,1,1,1,0,,,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,0,1,1,0,,,1,1,1,1,1,1,,,,,0,1,0,-0.9,1.125,1.125,3
447,"English",0,2,2,4,4,4,3,3,3,3,3,3,1,4,4,4,4,4,2,2,3,2,3,2,0,1,1,0,1,0,2,0,2,3,2,3,3,2,-2,8,8,6,1,0.4,0.4,0,2,4,"Male","Germany",2,4,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,-0.1,1,0.75,-8
448,"English",0,2,0,3,3,4,2,3,2,3,2,3,1,4,3,4,4,4,4,4,4,4,3,3,0,1,1,1,1,1,1,2,2,1,1,1,1,0,1,7,8,8,1,0.4,0,1,1,4,"Male","Germany",3,3,0,1,1,0,1,1,1,0,1,1,1,1,1,,,1,1,1,1,,,1,1,1,1,0,1,,,,,1,1,,,1,1,1,0,1,1,,,1,1,0,0,0,-3.6,1.14285714285714,1.14285714285714,0
449,"English",0,2,1,3,4,3,3,-1,1,2,2,3,1,4,3,4,4,4,4,4,4,4,3,1,2,1,1,1,0,0,0,1,0,1,1,0,1,1,0,7,9,8,1,0.9,0,0,3,5,"Male","Germany",3,4,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,-2,1.28571428571429,1.14285714285714,0
450,"English",1,2,3,4,4,4,2,3,3,3,3,3,3,4,4,4,4,3,4,4,3,3,4,2,0,0,1,1,1,1,,,2,,0,,,0,,,,,1,3,1,1,2,9,"Male","Germany",1,5,0,1,0,,,,,,,,,1,0,1,0,,,1,0,,,,,,,,,,,,,,,,,1,0,1,0,1,0,,,,,0,1,0,1.6,,,-1
451,"English",1,1,1,3,4,4,4,3,-1,3,1,3,1,4,4,5,4,5,4,4,5,5,4,2,0,1,1,1,0,2,1,2,0,1,1,1,1,0,1,7,8,8,1,0.3,0,1,1,4,"Male","Germany",3,4,0,1,1,,,1,1,,,1,1,1,1,1,1,,,1,1,,,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,,,1,1,0,0,0,-3.1,1.14285714285714,1.14285714285714,0
452,"English",0,2,0,4,4,4,3,2,1,2,2,1,2,4,4,4,4,4,4,2,3,2,4,,0,1,1,0,0,,0,,0,1,1,0,,0,0,8,8,8,1,2.2,1,1,1,6,"Male","Germany",2,3,0,1,0,,,1,0,,,1,0,1,0,1,0,1,0,1,0,,,,,1,0,,,,,,,1,0,,,1,0,1,0,1,0,,,1,0,0,0,0,-2.9,1,1,-5
453,"English",1,2,0,2,2,2,0,2,3,2,2,2,1,4,2,3,4,4,4,4,3,4,3,3,0,2,3,0,1,1,2,3,1,3,2,1,0,0,2,6,7,7,1,2,0,1,3,7,"Male","Germany",3,5,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,1,-4.1,1.16666666666667,1.16666666666667,1
454,"English",0,2,0,4,4,4,0,1,2,2,2,2,2,5,3,4,4,4,5,4,1,2,5,2,1,1,1,2,0,2,0,2,1,2,2,2,2,1,0,8,7,6,1,0.2,0,1,,3,"Male","Germany",2,3,0,1,1,0,1,1,0,,,1,0,1,0,1,0,1,0,1,0,,,0,1,,,,,,,,,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,,,,0.875,0.75,-3
455,"English",1,3,1,4,4,4,1,2,1,1,2,3,-3,3,3,4,4,4,4,1,1,2,4,,1,1,1,0,0,,-1,0,2,3,3,2,3,2,-2,7,6,4,1,1.6,0,1,3,5,"Male","Germany",1,2,0,1,0,,,0,1,,,0,1,1,0,1,1,1,0,,,,,,,0,1,,,,,,,,,,,0,1,,,1,0,,,0,1,0,2,0,-3.1,0.857142857142857,0.571428571428571,-6
456,"English",0,2,1,1,3,4,2,3,1,2,1,3,3,3,4,4,4,4,4,3,3,4,4,3,0,1,1,1,1,1,2,3,1,1,1,1,1,0,2,5,7,7,1,0.2,0,1,1,4,"Male","Germany",4,5,0,1,0,,,1,0,,,1,0,1,0,1,0,1,0,1,0,,,1,0,0,1,,,,,,,,,,,1,0,1,0,1,0,,,1,0,0,0,0,-4.1,1.4,1.4,-1
457,"English",1,2,,3,4,4,3,2,-1,3,-2,3,2,3,4,4,5,4,5,3,4,4,4,2,0,1,1,1,1,2,1,1,1,2,1,1,1,0,1,8,8,7,1,0.6,0.1,1,3,4,"Male","Germany",3,3,0,1,1,,,1,1,,,1,1,1,1,,,,,1,1,,,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,0,1,1,-4.1,1,0.875,0
458,"English",0,1,1,4,4,3,2,3,1,2,1,3,2,4,2,5,2,5,4,4,3,3,4,2,0,1,3,2,2,2,1,3,2,1,1,1,1,0,1,7,8,6,1,1.5,0,1,1,6,"Male","Germany",4,3,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,0,0,-3.6,1.14285714285714,0.857142857142857,0
459,"English",0,2,2,1,4,3,2,3,1,2,3,3,1,4,4,4,4,4,4,4,4,4,4,3,0,2,2,2,2,1,1,3,1,1,1,1,1,0,1,7,8,8,1,1,0,1,2,4,"Male","Germany",3,2,0,1,0,1,0,1,0,,,,,1,0,1,0,,,1,0,,,,,,,,,,,,,,,,,0,1,1,0,1,0,1,0,,,0,1,0,-3.1,1.14285714285714,1.14285714285714,0
460,"English",1,2,,4,4,4,3,3,3,3,3,3,2,2,2,3,3,4,5,4,4,4,4,1,0,0,1,1,1,0,1,1,1,1,1,0,0,1,1,8,8,9,1,0.2,0.01,1,,3,"Male","Germany",3,2,0,1,1,1,0,1,0,,,1,1,1,1,,,,,1,1,,,1,1,1,1,1,0,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,0,,,,1,1.125,7
461,"English",1,2,2,3,3,3,2,-1,1,2,2,3,-2,3,3,4,3,3,3,3,4,3,4,1,0,0,1,1,1,1,0,1,1,2,2,1,1,1,0,6,6,6,1,0.9,0,1,4,6,"Male","Germany",3,6,0,1,1,,,1,1,,,0,1,0,1,,,,,1,1,,,1,1,,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,0,1,2,-1.5,1,1,1
462,"English",0,2,0,1,1,4,1,3,1,3,1,3,2,4,4,2,3,3,4,1,1,1,4,4,1,0,1,1,1,1,2,3,1,2,1,1,1,2,2,8,9,8,1,2,0,1,3,8,"Male","Germany",3,2,0,1,0,1,0,1,0,,,1,0,1,0,1,0,,,1,0,1,0,1,0,1,0,,,,,,,,,,,1,0,,,0,1,,,1,0,0,1,1,-3.1,1.125,1,-5
463,"English",1,2,0,3,2,4,0,3,2,1,1,3,2,3,4,4,3,4,4,4,4,3,5,3,1,1,1,1,2,0,2,3,1,1,2,2,0,1,2,8,8,8,1,2.7,0,1,3,9,"Male","Germany",2,3,0,1,0,0,1,0,1,,,0,1,0,1,,,0,1,1,0,1,0,,,,,,,,,,,,,,,0,1,,,,,,,1,0,0,2,0,-0.8,1,1,2
464,"English",1,1,2,4,4,4,1,2,1,1,-1,2,-2,2,4,4,4,3,2,2,1,4,3,3,0,1,2,1,2,0,1,3,1,0,,0,0,0,2,6,8,10,0,0.6,0,1,2,6,"Female","Germany",3,2,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,,,1,1,1,0,1,0,0,1,0,1,,,,,1,1,1,0,1,1,1,1,1,1,0,0,1,-2.2,1.33333333333333,1.66666666666667,-5
465,"English",1,2,0,2,4,3,1,3,-2,3,-2,3,2,5,5,5,5,5,3,4,2,1,2,3,0,1,2,2,2,1,3,4,1,1,1,1,0,0,3,5,8,10,1,0.4,0,1,1,3,"Male","Germany",2,6,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,-4.1,1.6,2,-13
466,"English",1,1,,4,3,4,3,3,-2,2,-1,2,3,3,3,4,3,4,3,2,3,3,2,1,0,1,1,0,1,0,2,2,1,2,1,1,1,1,1,7,8,8,1,0.6,0,1,2,5,"Male","Germany",3,3,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,1,0,-1.5,1.14285714285714,1.14285714285714,-4
467,"English",1,2,,3,3,4,1,3,2,3,2,2,3,4,4,3,3,3,4,4,4,3,4,3,1,0,2,2,1,0,2,3,0,0,1,1,1,1,2,7,9,9,1,1.2,0,1,1,6,"Male","Germany",3,3,0,,,1,0,,,,,,,,,1,0,,,1,0,,,,,,,,,0,1,,,,,,,1,0,1,0,1,0,0,1,,,0,0,0,-1.4,1.28571428571429,1.28571428571429,2
468,"English",1,2,0,3,4,4,3,3,2,3,2,3,2,3,3,2,2,4,3,3,1,4,3,2,0,0,1,1,1,1,0,2,1,1,1,1,1,0,0,7,8,8,1,0.4,0,1,1,4,"Male","Germany",3,3,0,1,1,,,,,,,1,1,1,1,1,1,1,0,1,1,,,1,0,,,,,,,,,,,1,1,1,1,1,1,1,1,,,1,1,0,0,0,-3.6,1.14285714285714,1.14285714285714,0
469,"English",0,2,2,4,4,4,3,2,2,2,1,2,1,3,3,3,3,3,2,2,2,2,2,2,2,1,2,0,0,1,3,3,3,2,2,2,2,2,1,8,10,7,1,1,0,1,3,5,"Male","Germany",3,3,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,,1.25,0.875,-5
470,"English",1,1,0,1,3,3,1,-1,1,2,1,2,1,3,3,3,4,4,2,2,3,1,2,3,0,1,2,1,2,0,3,3,1,1,2,2,1,2,2,7,9,7,1,2.5,0.3,1,5,9,"Male","Germany",3,3,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,0,3,1,-1.9,1.28571428571429,1,-7
471,"English",1,2,0,1,2,4,0,3,-1,3,-2,3,3,4,4,4,3,3,4,3,3,2,2,3,0,1,1,1,1,0,2,2,1,2,1,1,1,2,0,8,8,7,0,2.3,0.8,1,1,8,"Male","Germany",3,5,0,,,,,1,0,,,1,0,1,0,1,0,1,0,1,0,,,1,0,,,,,,,,,,,,,1,0,1,0,1,0,,,1,0,0,0,0,-4.1,1,0.875,-4
472,"English",0,1,2,4,4,3,3,3,2,3,1,3,2,2,1,3,3,2,3,3,2,3,4,2,1,1,1,2,1,2,0,1,1,1,2,1,0,1,1,6,7,9,1,2,0,1,1,6,"Male","Austria",1,3,0,1,0,,,,,,,0,1,1,0,1,0,,,1,0,,,1,0,,,,,,,,,,,,,1,0,1,0,0,1,,,1,0,1,0,0,-3.6,1.16666666666667,1.5,4
473,"English",0,2,3,2,3,4,4,2,-3,-2,-3,-2,-2,5,5,5,5,5,1,0,1,3,4,1,3,2,2,2,3,1,3,1,2,2,2,2,1,3,1,7,8,4,1,0.8,0,1,2,5,"Male","Germany",2,3,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,,,0,1,0,1,,,0,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,1,1,0,-3.1,1.14285714285714,0.571428571428571,-16
474,"English",1,2,3,2,4,3,2,-1,-1,2,1,2,-2,4,3,4,4,4,2,3,4,2,3,3,1,1,1,1,1,1,2,3,1,2,2,2,1,2,1,7,9,7,1,1.6,0,1,3,6,"Male","Germany",3,4,0,,,0,1,,,,,1,0,1,0,1,0,,,1,0,,,,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,,,0,1,1,0.1,1.28571428571429,1,-5
475,"English",1,2,3,3,4,4,4,2,1,2,2,2,2,4,4,4,4,4,4,4,3,3,4,4,2,0,1,0,0,0,3,3,0,1,1,0,1,1,3,8,10,9,1,3.5,0,1,2,10,"Male","Germany",3,6,0,,,0,1,1,0,,,1,0,1,0,,,,,,,,,,,1,0,,,,,,,,,,,1,0,1,0,1,0,1,0,1,0,0,1,0,,1.25,1.125,-2
476,"English",1,2,3,4,4,4,4,3,2,3,2,3,3,5,5,5,5,4,5,4,4,4,4,3,1,0,0,0,0,0,3,0,0,0,0,0,0,1,3,5,9,9,1,0.3,0.3,0,3,2,"Male","Austria",2,2,0,1,0,,,,,,,1,0,1,0,1,0,,,1,0,,,1,0,1,0,,,,,,,,,1,0,1,0,,,,,1,0,1,0,0,2,0,-4.1,1.8,1.8,-3
477,"English",0,2,,4,4,4,2,3,2,3,3,3,3,3,1,3,0,4,,,,,,3,0,1,2,1,0,1,2,,,,,,,0,,,,,0,,,0,,,,,,,,1,0,,,1,0,,,1,0,1,0,,,,,1,0,,,,,1,0,1,0,,,0,1,,,,,1,0,1,0,1,0,,,1,0,0,,,-3.6,,,
478,"English",1,2,3,1,4,2,2,1,-1,3,-1,3,1,4,2,5,3,4,1,2,3,4,3,3,1,1,1,2,1,1,1,3,1,2,1,1,0,2,0,6,8,7,1,0.2,0,1,5,3,"Female","Germany",3,3,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,,,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,4,0,,1.33333333333333,1.16666666666667,-5
479,"English",1,2,0,3,1,4,3,2,-2,2,2,2,-2,3,3,4,4,4,4,3,1,3,2,3,0,2,1,1,1,2,3,1,3,3,4,3,2,2,-3,6,8,2,0,3.5,0,1,1,9,"Male","Germany",3,5,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,,,,,1,0,1,0,,,,,,,,,0,1,,,,,0,1,0,1,0,0,0,-2.8,1.33333333333333,0.333333333333333,-5
480,"English",1,2,4,4,4,4,2,1,-3,1,-3,-1,-3,4,1,3,2,3,4,2,3,3,1,1,1,1,2,2,2,1,-1,1,2,2,2,2,1,1,-1,8,5,3,1,0.2,0,1,2,4,"Male","Germany",2,3,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0,1,1,1,,,1,1,,,,,,,0,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,,,-2.6,0.625,0.375,0
481,"English",1,2,,4,3,4,1,3,3,3,3,3,2,3,2,3,2,3,4,4,4,4,4,3,0,1,0,1,2,0,2,3,0,1,1,0,0,0,2,4,9,9,1,1,0.3,1,6,5,"Male","Germany",4,4,0,1,0,1,0,1,0,,,1,0,1,0,1,0,,,1,0,,,1,0,1,0,,,,,0,1,,,,,1,0,,,1,0,1,0,,,0,3,2,-3.6,2.25,2.25,7
482,"English",0,2,2,4,4,4,0,3,-1,1,2,1,2,3,4,5,4,4,5,1,4,4,3,0,1,1,2,2,0,0,2,0,1,2,1,0,0,1,2,8,8,6,1,0.7,0,1,3,3,"Male","Austria",0,2,0,1,0,1,0,,,,,,,,,1,0,,,,,,,,,,,,,,,,,,,,,1,0,,,1,0,,,,,0,2,0,-3.5,1,0.75,-3
483,"English",0,2,0,1,2,4,1,2,1,-1,1,-2,2,5,4,5,5,4,5,2,5,4,4,2,1,1,2,1,2,2,1,2,2,1,1,0,1,2,1,7,8,8,1,2.2,0,1,2,8,"Male","Germany",3,5,0,1,1,0,1,1,1,,,0,1,1,1,0,1,0,1,1,1,0,1,,,,,,,,,0,1,0,1,0,1,1,1,1,0,1,1,,,1,1,0,1,0,-2,1.14285714285714,1.14285714285714,-3
484,"English",0,2,2,3,3,4,1,2,2,2,2,2,-1,4,3,4,3,4,2,2,3,2,2,3,1,1,2,0,4,0,2,3,2,2,1,2,1,1,1,6,9,7,1,0.5,0.5,1,2,4,"Male","Germany",2,1,0,1,1,,,,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,0,1,,,,,,,1,1,0,1,0,1,0,1,1,1,1,1,0,1,0,-2,1.5,1.16666666666667,-7
485,"English",0,2,0,2,3,4,2,3,1,3,1,3,1,2,3,2,3,3,3,2,2,2,2,1,1,1,1,2,2,1,1,1,1,1,1,0,1,2,1,6,8,7,1,1,0,1,2,6,"Female","Germany",3,4,0,1,1,0,1,,,0,1,0,1,1,1,0,1,0,1,1,1,,,1,0,0,1,,,0,1,0,1,,,0,1,1,1,1,1,1,1,0,1,0,1,0,1,0,-3,1.33333333333333,1.16666666666667,-2
486,"English",1,1,1,3,4,2,3,1,2,2,3,2,1,4,4,4,2,3,2,3,3,3,4,4,0,1,1,1,1,0,3,3,2,2,1,1,0,0,3,6,9,7,1,2.4,0,1,3,8,"Male","Germany",4,5,0,1,0,,,1,0,,,1,0,1,0,1,0,,,1,0,,,,,,,,,,,,,,,0,1,0,1,0,1,1,0,0,1,1,0,0,2,0,-2.1,1.5,1.16666666666667,-2
